TEAM_ABBREVIATION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,GAME_TIMESTAMP,WEIGHTS,PLAYER_ID,W,L,PCT,CONF_RANK,DIV_RANK
LAL,17.019340190943357,2.5701362739785365,5.554917419209698,0.36454241956757755,0.7958962272694303,2.2992663846827726,0.20194742834342272,1.1613631616664346,1.5004733727440225,0.31685486696804827,0.6511236237570998,2.1947274111254136,2.845851034882513,1.6876407130240627,0.8818273153910661,0.5656873405149011,0.3396051451119335,0.27352658675580466,1.2397985531535851,1.333197843198809,7.0975319368929375,-1.9127287886856539,14.878064389777487,0.06484333230988652,0.011334628720622289,14.237504883322613,1.0,3336.7419594998005,3336.7419594998005,3336.7419594998005,9445.2372586334,8497.66705636956,9137.445630157956,7697.787681703042,6205.05645404551,7931.489751072969,6189.435365348145,5779.031865763646,5979.535648033325,5584.696643291752,5649.408300657138,7983.866212867763,8320.168184296994,7635.608298803476,6323.060994982589,4952.526279601088,3849.6171544696113,2137.552909937144,3773.157244372255,6797.959516530641,8900.926350002168,7582.950918549356,9448.09898419455,1136.3954782895482,78.45727590613059,9369.324803787667,1.0011596619415706,1723150142.9121332,0.09782931420000056,1446372.9583333333,13,12,0.52,10,4
MIA,17.85985865136258,2.61770630901897,5.882402777680317,0.3737356784746184,0.942549727916183,2.6668527848065353,0.26233039415328013,1.1355218307047865,1.4805754885098281,0.30922665063041654,0.7240899052817739,2.3205795414774686,3.0446694467592423,1.7881818634272753,0.8434538409081405,0.6190634336041101,0.28347410347500335,0.3030210199821967,1.2484909592199618,1.2623695895982963,7.31348417665891,0.8849163618723419,15.513519078240114,0.03924320082317743,0.002003475223303026,14.893960288919837,1.0,3018.871639064686,3018.871639064686,3018.871639064686,7761.7827187416515,7020.099291400975,7417.657706132489,6653.746626429265,5037.61742624261,6282.571154158508,4994.36298883714,4996.864388330295,5229.519139316895,4801.755179217053,4773.646114865298,6603.61554739721,6877.506868054071,6047.7568362542115,5386.074963672288,4353.650160218982,3434.8417025286226,1984.7987642633316,3515.547222799246,5897.373096201731,7353.731513112075,5730.818564254956,7844.8606721286205,1002.268967079824,69.68912217835897,7738.330168523165,1.0,1726154859.6509604,0.0910409494090503,1444920.8260869565,13,10,0.565,5,2
MIL,15.070988531513615,2.579327988138841,5.449819313480052,0.3547769716939139,0.8788275578040092,2.376150771039063,0.21527172846089898,1.1315602961562485,1.4968379071615887,0.2581910453708683,0.5335151139238231,2.095926811274024,2.6294419251978467,1.6875908160359374,0.8827036444312419,0.4673076700791636,0.32802073909073115,0.2623097267127999,1.2166310944609837,1.2615721430256412,7.16904383023794,0.4612704185418707,14.359041947607704,0.06285038955275327,0.0069725641060977275,13.955560947615522,1.0,3335.309100680763,3335.309100680763,3335.309100680763,10518.821809006591,9223.475621882071,9908.298764631838,8250.579866778731,6498.281143371973,8399.59848095877,6498.496602615619,6276.808655896356,6587.772397700802,6084.1263972340785,6209.287663642576,8848.778116046933,9316.442917917042,8028.931741642062,6809.332097378873,5559.652947748164,4230.053058422768,2031.7251103849158,4104.124101198825,7540.984518954958,9604.74422128966,7482.570154840962,10361.120257890725,1217.2887627015468,82.93084769109284,10216.589487153835,1.0,1721985881.28593,0.08268636878823726,1048486.2727272727,14,11,0.56,6,2
MIN,15.335511613044975,2.541282710165727,5.299092011020319,0.3693607416404307,0.8355890206782689,2.204997998795084,0.22334519613424142,1.0339082888483977,1.359525522600208,0.29869295045596,0.6525585385055104,2.391427202592294,3.0439857410978037,1.5948417009727538,0.9098406786378321,0.5609886331682453,0.3433833541506167,0.2982317838889422,1.1818752129948267,1.2107512698596725,6.95206272985812,1.7138708351015395,14.80038345395337,0.07705791199363615,0.0,14.235223167244673,1.0,2132.578788322859,2132.578788322859,2132.578788322859,9430.767505853017,8087.767041447022,8908.008708902453,7269.960873446318,5887.220173055177,7791.940997416546,5834.781730003333,5628.580164264264,5834.154879367592,5485.493318813094,5449.189229024711,7734.12969606952,8143.699089137277,7065.205235373794,6107.390716020632,4812.43586878756,3694.777215008141,1889.3859521670845,3290.8862584152134,6773.609771820654,8538.29671743581,5858.4883762867885,9067.844194680587,1067.551247793586,75.27169508131989,9004.842525829397,1.0,1725225776.0939136,0.08601551819889461,1344987.1,13,11,0.542,7,3
BKN,19.337972794537375,3.1332098897945917,6.8540651405369575,0.3987838068791796,1.298479807167828,3.3445719062690094,0.2574318413317728,1.1035607048465867,1.4061187527799983,0.30646241744295843,0.708245459926133,2.296619865963103,3.004865325889236,2.0390855456490193,1.03066561428201,0.6076740945390299,0.35815995513282545,0.4545061725837976,1.5772590202531958,1.2711803133736599,8.668460291603598,-1.5363737139801439,17.199763535877768,0.024859627262609766,0.0,16.94255906965339,1.0,4530.312229858225,4530.312229858225,4530.312229858225,8795.334116613196,7755.802463952685,8111.493201875987,7485.824970782563,5484.214509764287,6790.051821605979,5878.161476888717,6002.344548339395,6215.833622978239,5790.226438143829,5401.388503704466,7621.858860586918,7889.868261986361,6757.253843221309,5982.442599106951,4799.131471026349,3832.7041258715617,3446.0933065920863,4829.286463586571,6998.994817074701,8206.831311014223,7669.976107477858,8649.788884266945,1204.7803079939613,80.8707136200599,8477.413253786817,1.0,1722686887.6954186,0.08547942690789274,1564115.8095238095,10,15,0.4,10,3
NYK,17.42585293598652,2.7578612074615476,5.697780271307284,0.35523049334132045,0.890426398730582,2.3317121978387236,0.1975074006963424,1.0912778244841195,1.467098658275809,0.2961179258352457,0.8602027026931612,2.3735505844803706,3.2337532871735317,1.7900506339703788,0.9074896895565433,0.5307733269696564,0.3594576332686111,0.3375294034699308,1.2957004070536777,1.2947157740599968,7.497426638137797,0.8808698398425278,15.826209724859863,0.06507727217913796,0.0040589999865225995,15.192118878488825,1.0,3406.306484120357,3406.306484120357,3406.306484120357,10205.66502645319,9241.522147442245,10037.60344620528,8914.627056439856,6744.787059792142,8891.928265896207,6982.141716669863,6371.093185747101,6509.716739061663,6330.119243223701,5854.1614012688715,8769.969099038874,8984.655816273405,8487.029014735035,6906.67889676654,5601.244349710564,4154.44703115745,2633.4126164887653,4169.069369523639,7412.9134291802975,9682.465886587292,7415.9881320789755,10157.604209286437,1245.1342619909121,84.68455425516416,10070.934439753197,1.0,1721881919.2550478,0.08528077542247466,1436198.4090909092,15,10,0.6,4,2
ORL,16.650702839532592,2.7297109245580904,5.927530160417918,0.36823895945867735,0.7359909508378444,2.2979493075526785,0.21347092580256186,1.2729092202375167,1.6769820523012353,0.30266391545304694,0.79640301460505,2.3206587369865823,3.117061751591632,1.8322347471271345,0.9961372660377222,0.564714532588044,0.4114392339213417,0.30063196568390216,1.4085239457336687,1.4908175471055967,7.4683220201915415,1.6159186767665612,15.889472276282637,0.04014153081333273,0.0008977742994278601,15.105917002766924,1.0,3156.4030868443633,3156.4030868443633,3156.4030868443633,9913.119503461829,8554.380018434373,9284.607931674496,7825.890071340492,6521.8445499090085,8380.10554560395,6431.579008503524,6084.44765127994,6333.811456768652,6069.051035030612,5733.100956274806,8051.899942377988,8402.167101242017,7350.386549734806,6269.732278625524,5271.86812568525,3958.4123818490634,2324.1664682689457,4568.532414063835,7127.919235584452,9077.00186751016,6943.790687164152,9610.17969233956,1225.5939235407984,82.39801692534512,9533.45666413913,1.0,1722554889.22873,0.11435028472955863,1489053.6,17,10,0.63,3,1
IND,17.701250348239018,2.9255812690426133,6.068174779744543,0.42070100549080114,0.8666593432187404,2.358171946862835,0.2323610993434813,1.2957527854141466,1.683646914472383,0.3808067764451183,0.8210898258710783,2.4058447221277186,3.226934547998797,1.8563588969961624,0.9797978442426553,0.6422446207194038,0.3958459985649008,0.39629595360214265,1.709446251379941,1.4633632719155625,8.013574666718114,-0.6941280665284487,16.804908483421173,0.04304508257674819,0.00018596613663333334,16.039708693500422,1.0,3341.529588269805,3341.529588269805,3341.529588269805,7840.778495493033,6561.310143958576,7237.839858625409,5801.013523193732,5165.437430582561,6710.732526936708,5209.233081547021,4734.144324218972,4904.328169280892,4518.776318596011,4506.473894062488,6525.558539725234,6684.233647252891,6170.646659662052,5165.473353546161,4190.405508886171,3229.026426959293,2543.6958908507863,4623.583222420946,5385.743450004143,6941.176338998556,6056.105961086621,7432.267091974928,993.2483836944689,69.78198279627522,7364.387006137764,1.0,1726366159.707028,0.08871894452915818,1429090.238095238,11,15,0.423,8,3
PHI,17.27986611076027,2.736485711570925,6.100039377958277,0.3560887879595503,0.9708551995904432,2.7524715261895825,0.23470484211338874,1.1943236000695923,1.479548806003755,0.3212166769307313,0.6640651869217513,2.1757594811352288,2.8398246680569796,1.610116177575709,0.8107793477197521,0.6236972810147547,0.4025144535150346,0.35843038577533143,1.5391736076975773,1.213814848572895,7.638150222801885,0.0013704952814201565,15.728969946703439,0.04648690001409978,0.0026026858860717485,15.111369737084596,1.0,3555.8743099725834,3555.8743099725834,3555.8743099725834,10488.940043921086,9283.493697030297,9968.67069047323,8744.308311511908,6429.629674708955,8259.33762850712,6435.59681899368,6448.171883528692,6760.734511553616,6129.635757195349,6141.339442081878,8866.989169288381,9252.614678755643,8168.625896681947,7305.055632548129,5242.9129336823935,4007.690860183423,2812.49916044332,4781.757516227111,7778.321464145024,9679.600134830342,7399.058619139033,10146.831758793305,1265.0842728255122,85.27560096840187,10108.32216446615,1.0,1721021033.1583402,0.13865620410968738,1288606.08,7,16,0.304,12,4
PHX,16.124474728856786,2.586860909130895,5.604555285701596,0.37672752522427505,0.8338849975856969,2.4137189172370146,0.20060592427785415,1.232003333290476,1.5816632639629773,0.33283487995371486,0.6654722242676813,2.2750071529357414,2.9404793772034226,1.524060371943657,0.9638742250963349,0.5144635816101705,0.347510040230036,0.31317533831780325,1.2804003478059145,1.3156011466554753,7.239610149137963,-0.5894486254584063,14.676322600121841,0.03311457601397813,0.00013825785014374091,14.261982139551153,1.0,4021.9944722492596,4021.9944722492596,4021.9944722492596,11312.73323508222,9941.843300907836,10707.026716066408,8761.89293296242,7149.1887307810475,9258.028651008508,7222.864317151551,6719.51548138053,6893.547478966736,6438.957676610991,6400.731767778401,9280.42847355206,9618.606815555457,8735.694079219413,7220.333462199411,5852.197731277953,4429.583162922946,2774.7923969062326,4340.55977618325,7883.9533116761895,10415.167053836933,8146.591601969177,11051.973151262295,1335.5071719510313,88.7153215339203,10946.965096890948,1.0,1720968266.7890496,0.08143340901844855,1241731.7727272727,13,11,0.542,8,2
POR,19.488956920944922,3.075227946898371,6.888859333430895,0.39913497363256123,0.8339312387197942,2.541535464938095,0.21201464508831913,1.2310789454193016,1.5958213646835673,0.35130983702484325,1.161283244113848,2.444822949823476,3.6061061939373245,1.7450141896602247,1.2429545744668076,0.7015625269207078,0.5291758188838317,0.5188454945908912,1.6877181708872921,1.4265511704311595,8.215466077935838,-4.217091962558215,17.609575258097777,0.047125322472951904,0.0,16.86199439186226,1.0,5362.375452385449,5362.375452385449,5362.375452385449,8070.721522112409,7519.182877922071,7861.500463004547,7219.190482839125,5766.234732371385,7197.20701941538,5996.231714319496,5513.531680127126,5654.3968881297715,5244.012963300721,4420.327614106574,7107.181393780278,6939.418273119326,6725.799264527921,5194.8668590310535,4402.407907012837,3363.0327526762558,3526.4672587241503,5526.88818728297,6059.630122730811,8005.954072424965,8057.032116159984,8138.136806768545,1122.5391561446584,77.30010191311617,8072.887582360151,1.0,1724217592.3924935,0.06471827934789537,1561200.2,8,17,0.32,13,4
SAC,15.045407885804359,2.3607480354912678,4.978823130470051,0.3245915046858323,0.7587586449937497,2.16391319021473,0.20033193561347512,0.8787181148790548,1.154936604928958,0.24652850498865247,0.6990832983769164,2.047144449349073,2.7462277477259893,1.5916668259807516,0.7604277048673777,0.43950562243878155,0.28190469797750706,0.2570559785695246,1.347583684732948,1.0391596122349331,6.3589728308553415,0.7332000555316408,13.445749623479145,0.06732707325123082,0.008679240145431364,12.89844669038841,1.0000000000000002,3448.113944918756,3448.113944918756,3448.113944918756,11434.133538229604,9942.867081495498,10837.984828376864,8892.456556321024,6936.153251732245,9153.554849373872,6906.178819380643,6813.402343013848,7072.1018789734135,6656.898384005963,6286.226735882313,9360.114806777703,9762.966583872492,8963.375095713596,7557.887891123172,5940.5710258105455,4413.771021807579,1864.3462691288064,4121.966221756021,8210.128794796388,10426.901756321082,7233.910309095625,11210.594432638785,1258.0908925750753,84.93253256009056,11101.35297078605,1.0011660009332082,1721103385.351876,0.11375058780460719,1437198.5,13,13,0.5,12,5
SAS,16.811402976532666,2.80692656540578,6.183046014767101,0.3674155652498997,0.8655071490281978,2.5718849684883978,0.20931843486129947,1.0812305941557676,1.4479122038764478,0.32544284703862353,0.7533214639453153,2.4129202248002857,3.1662416887456004,1.833835103389848,0.9419583676842982,0.49133969439204916,0.43089425765129397,0.33530107005041243,1.2501575122882664,1.2652110462763217,7.560590873995527,-0.8729047695930676,15.93557704402075,0.04573451712017049,0.0028851912408044,15.27064271924586,1.0,4435.378765629024,4435.378765629024,4435.378765629024,9386.325829593676,7864.341097838431,8410.609126277544,7360.260080516628,5945.294053467802,7410.439216595484,6061.103325407069,6022.671698450121,6258.200664505425,5739.74062875447,5546.115013963545,7398.362308882065,7806.182751046746,6751.969902985387,6168.62048135656,5219.122480328746,3967.7495719280873,2756.813214456911,4180.952734610806,7036.507885503152,8426.346579268366,7390.768474455714,8955.63770761342,1198.5136800437836,81.2693847064614,8827.74346028638,1.0191518815304157,1723224748.1527975,0.1709019416210256,1631906.619047619,13,12,0.52,11,4
OKC,15.405453281269386,2.5104703331264338,5.461747503162337,0.37769087745897717,0.8086788025891868,2.343914022576667,0.2263719180768687,0.9576970223938551,1.2300152006711669,0.25685081859841347,0.7274106107163534,2.216590465926228,2.9440010766425817,1.6257979911369367,0.7311148235144049,0.5988477336056063,0.3982635505398526,0.30721055116585916,1.2827596811464652,1.095149870439898,6.787316491235909,2.3785874942960574,15.019033798834386,0.02780400791525392,0.0019135641489933042,14.160016929895532,1.0,2198.3341488848073,2198.3341488848073,2198.3341488848073,9851.97635516647,8620.123344998485,9303.539249017129,7460.625832740461,6164.897803731051,8008.045147779125,6051.736806531898,6106.666300666554,6347.296178305474,5983.872463469893,5272.58760152615,7611.537795189876,7814.149544924977,7610.8982463037055,6655.735216277332,5157.146035192874,3732.9472880992084,2405.211818961549,4257.3664992666845,7177.812182692352,9111.892348203788,6407.135646090625,9449.141917484487,1193.6250037822122,80.01975600540139,9401.831800126754,1.0,1723055202.1787608,0.10136750729351142,1456332.4583333333,20,5,0.8,1,1
