TEAM,SEASON_YEAR,TEAM_ID,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
HOU,2021.7325581395348,1610612745.0,0.34011627906976744,48.247093023255815,40.34011627906977,89.08430232558139,0.45345058139534883,12.5,36.68313953488372,0.33830232558139534,17.86627906976744,23.924418604651162,0.7458924418604651,11.229651162790697,33.299418604651166,44.52906976744186,23.49127906976744,14.936046511627907,7.590116279069767,4.755813953488372,5.837209302325581,20.38081395348837,20.441860465116278,111.04651162790698,-4.828488372093023,1.0,766.3313953488372,766.3313953488372,766.3313953488372,116.30813953488372,1223.3226744186047,1049.6017441860465,1314.921511627907,1064.4593023255813,914.4912790697674,1293.3779069767443,1015.7325581395348,919.9941860465116,1358.125,920.9186046511628,1131.9651162790697,1050.4651162790697,1308.1656976744187,1237.0959302325582,1003.9970930232558,1040.0406976744187,1272.4156976744187,1206.2122093023256,868.3052325581396,1218.2441860465117,1369.7703488372092
IND,2021.7325581395348,1610612754.0,0.4418604651162791,48.30523255813954,43.372093023255815,90.46511627906976,0.48011046511627903,12.80232558139535,35.27325581395349,0.3626220930232558,16.901162790697676,21.58139534883721,0.7833924418604652,10.034883720930232,32.156976744186046,42.19186046511628,27.61918604651163,14.034883720930232,7.773255813953488,5.840116279069767,5.162790697674419,20.77906976744186,18.99418604651163,116.44767441860465,-1.1337209302325582,1.0,633.703488372093,633.703488372093,633.703488372093,114.62790697674419,864.1191860465116,890.953488372093,1034.3575581395348,1016.9854651162791,1025.5406976744187,1119.9622093023256,1123.3168604651162,1143.375,1113.6162790697674,1085.139534883721,1224.1133720930231,1230.6976744186047,790.1046511627907,1071.8866279069769,970.2936046511628,753.0087209302326,1111.8662790697674,1268.8255813953488,1112.0029069767443,933.4273255813954,1161.4360465116279
LAC,2021.7325581395348,1610612746.0,0.5755813953488372,48.174418604651166,41.19186046511628,86.67151162790698,0.4763139534883721,13.017441860465116,33.83139534883721,0.38443895348837215,17.125,21.276162790697676,0.8049854651162791,9.706395348837209,33.901162790697676,43.60755813953488,24.476744186046513,13.805232558139535,7.526162790697675,4.613372093023256,4.372093023255814,18.959302325581394,18.697674418604652,112.52616279069767,2.2325581395348837,1.0,482.34302325581393,482.34302325581393,482.34302325581393,117.09883720930233,1108.5901162790697,1232.2122093023256,1059.7848837209303,976.1918604651163,1179.1598837209303,945.4011627906976,1095.7005813953488,1166.8226744186047,948.9186046511628,1168.2383720930231,1038.735465116279,1122.2529069767443,1199.6337209302326,1019.3808139534884,1044.3110465116279,1042.4273255813953,860.8517441860465,980.9360465116279,1157.9418604651162,1138.5523255813953,1011.4244186046511
LAL,2021.725947521866,1610612747.0,0.5189504373177842,48.51020408163265,42.12827988338192,87.76967930029154,0.48053352769679303,11.43731778425656,32.180758017492714,0.3550991253644315,18.428571428571427,24.24198250728863,0.7580612244897958,9.33527696793003,34.673469387755105,44.00874635568513,25.693877551020407,14.341107871720117,7.332361516034985,5.134110787172012,4.58600583090379,18.05539358600583,20.600583090379008,114.12244897959184,-0.1457725947521866,1.0,549.6938775510204,549.6938775510204,549.6938775510204,111.62973760932945,977.2069970845481,1136.274052478134,989.396501457726,1241.2303206997085,1357.4868804664723,1160.9737609329445,972.5685131195336,902.0262390670554,1285.5247813411079,1206.4927113702624,945.9825072886298,1072.8279883381924,1024.0903790087464,1145.7026239067056,1067.930029154519,925.2886297376093,939.3440233236151,856.6909620991254,886.8833819241983,1033.4198250728864,1117.1574344023325
MEM,2021.7325581395348,1610612763.0,0.5523255813953488,48.247093023255815,42.32848837209303,91.63953488372093,0.4621046511627907,12.069767441860465,34.3343023255814,0.351203488372093,16.90406976744186,22.50872093023256,0.7563197674418604,12.095930232558139,34.22674418604651,46.32267441860465,26.218023255813954,14.031976744186046,8.840116279069768,5.9563953488372094,5.723837209302325,19.569767441860463,19.430232558139537,113.63081395348837,1.5203488372093024,1.0,516.953488372093,516.953488372093,516.953488372093,115.5813953488372,1004.3372093023256,804.8953488372093,1246.3488372093022,1151.0116279069769,1148.1860465116279,1204.5290697674418,1135.5087209302326,1074.0,1303.3110465116279,771.8023255813954,1000.7470930232558,863.3110465116279,994.1744186046511,1057.3255813953488,751.0232558139535,755.7877906976744,1255.0290697674418,1066.1598837209303,1074.7325581395348,1099.5872093023256,1060.5
MIA,2021.7126099706745,1610612748.0,0.5747800586510264,48.30791788856305,39.49266862170088,85.09970674486803,0.46470381231671554,12.87683284457478,35.34604105571847,0.3643988269794722,17.80058651026393,21.964809384164223,0.8102052785923752,9.343108504398828,32.82697947214076,42.17008797653959,25.392961876832846,13.63049853372434,7.768328445747801,3.3929618768328447,4.2082111436950145,18.60410557184751,19.733137829912025,109.66275659824046,1.6422287390029326,1.0,484.90029325513194,484.90029325513194,484.90029325513194,116.14369501466275,1324.900293255132,1423.9208211143696,1198.5777126099706,1013.9912023460411,1060.366568914956,1114.126099706745,1031.607038123167,1119.5014662756598,915.6129032258065,1224.9765395894428,1174.7067448680352,1270.3313782991202,1089.9237536656892,1022.5131964809384,987.5982404692082,1402.1935483870968,813.0175953079179,958.3812316715542,999.7478005865103,1285.8973607038124,1041.6041055718474
MIL,2021.725947521866,1610612749.0,0.6355685131195336,48.24781341107872,42.903790087463555,89.58309037900875,0.4797463556851312,14.370262390670554,38.393586005830905,0.37390962099125363,17.303206997084548,22.74344023323615,0.7595422740524782,10.110787172011662,36.46938775510204,46.5801749271137,25.323615160349853,13.714285714285714,7.189504373177843,4.720116618075802,4.309037900874635,18.262390670553938,19.122448979591837,117.48104956268222,3.6355685131195337,1.0,410.4927113702624,410.4927113702624,410.4927113702624,116.10204081632654,897.3498542274052,958.1078717201166,1025.8862973760934,771.6064139941691,743.7696793002915,1035.0816326530612,1079.9912536443148,1041.6501457725947,1232.0408163265306,1063.2186588921284,742.4868804664723,817.7172011661808,1076.4402332361517,1025.1545189504373,1106.1486880466473,1035.2973760932944,845.8804664723032,883.6297376093295,1096.2682215743441,877.3002915451895,933.4081632653061
MIN,2021.719298245614,1610612750.0,0.5263157894736842,48.32163742690059,41.46783625730994,88.24853801169591,0.4714035087719298,13.298245614035087,36.461988304093566,0.36564327485380116,17.73391812865497,23.046783625730995,0.7692368421052632,10.002923976608187,33.23099415204678,43.23391812865497,25.953216374269005,14.646198830409357,8.380116959064328,5.5964912280701755,4.722222222222222,20.605263157894736,20.172514619883042,113.96783625730994,1.2690058479532165,1.0,534.672514619883,534.672514619883,534.672514619883,115.05847953216374,1061.4181286549708,1093.6140350877192,1120.014619883041,942.1959064327485,952.6900584795321,1085.9736842105262,1028.6315789473683,999.8684210526316,1208.1666666666667,1106.8567251461989,1122.7543859649122,1155.3654970760233,998.2923976608187,1180.8567251461989,847.7923976608187,803.0204678362574,967.4561403508771,1261.280701754386,922.1432748538011,1059.6315789473683,1067.9122807017543
NOP,2021.7325581395348,1610612740.0,0.4738372093023256,48.247093023255815,41.57267441860465,88.03488372093024,0.473343023255814,11.168604651162791,31.468023255813954,0.3538662790697675,18.36046511627907,23.84011627906977,0.7711540697674418,11.25,33.59593023255814,44.84593023255814,25.77906976744186,14.127906976744185,8.229651162790697,4.354651162790698,5.159883720930233,19.072674418604652,19.924418604651162,112.67441860465117,0.3488372093023256,1.0,578.1686046511628,578.1686046511628,578.1686046511628,115.01744186046511,1049.3226744186047,1128.1279069767443,1067.9941860465117,1291.9098837209303,1429.0959302325582,1155.2732558139535,961.7151162790698,943.7819767441861,1163.0668604651162,897.3226744186046,1064.264534883721,996.375,1003.9651162790698,1075.3081395348838,883.5872093023256,1118.5726744186047,1068.4651162790697,1022.2209302325581,956.1104651162791,1103.3459302325582,1089.1453488372092
NYK,2021.725947521866,1610612752.0,0.5539358600583091,48.33527696793003,40.349854227405245,87.6734693877551,0.4607900874635568,12.848396501457726,34.89504373177842,0.36876676384839646,17.606413994169095,22.9067055393586,0.7698250728862974,11.472303206997085,34.04956268221574,45.521865889212826,23.06997084548105,13.090379008746355,6.9912536443148685,4.530612244897959,4.906705539358601,19.50145772594752,19.472303206997086,111.15451895043732,2.6997084548104957,1.0,511.2040816326531,511.2040816326531,511.2040816326531,113.6472303206997,1230.1166180758019,1167.927113702624,1263.0845481049562,990.8892128279883,1075.728862973761,1066.7609329446063,1019.6209912536443,994.4023323615161,1191.4723032069971,826.8892128279883,1008.198250728863,905.3935860058309,1410.3644314868804,931.332361516035,1127.5860058309038,1090.1603498542274,1019.3527696793003,1081.3061224489795,1031.274052478134,1212.3119533527697,1014.8367346938776
